[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> story-tts/backend/internal/api.(*Server).health-fm (3 handlers)
[GIN-debug] GET    /library/*filepath        --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /library/*filepath        --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] GET    /api/state                --> story-tts/backend/internal/api.(*Server).getState-fm (3 handlers)
[GIN-debug] GET    /api/stories              --> story-tts/backend/internal/api.(*Server).listStories-fm (3 handlers)
[GIN-debug] GET    /api/library/stories      --> story-tts/backend/internal/api.(*Server).listStories-fm (3 handlers)
[GIN-debug] GET    /api/library/stories/:id  --> story-tts/backend/internal/api.(*Server).getStory-fm (3 handlers)
[GIN-debug] POST   /api/library/import-folder --> story-tts/backend/internal/api.(*Server).importFolder-fm (3 handlers)
[GIN-debug] GET    /api/library/chapters/:id/content --> story-tts/backend/internal/api.(*Server).getChapterContent-fm (3 handlers)
[GIN-debug] GET    /api/reader/progress/:storyId --> story-tts/backend/internal/api.(*Server).getReaderProgress-fm (3 handlers)
[GIN-debug] POST   /api/reader/progress      --> story-tts/backend/internal/api.(*Server).saveReaderProgress-fm (3 handlers)
[GIN-debug] POST   /api/reader/chapters/:id/speak --> story-tts/backend/internal/api.(*Server).speakChapterDirect-fm (3 handlers)
[GIN-debug] GET    /api/reader/sessions/:id  --> story-tts/backend/internal/api.(*Server).getDirectTTSSession-fm (3 handlers)
[GIN-debug] POST   /api/stories/scan         --> story-tts/backend/internal/api.(*Server).scanStory-fm (3 handlers)
[GIN-debug] GET    /api/stories/:id          --> story-tts/backend/internal/api.(*Server).getStory-fm (3 handlers)
[GIN-debug] POST   /api/stories/:id/build    --> story-tts/backend/internal/api.(*Server).buildStory-fm (3 handlers)
[GIN-debug] POST   /api/chapters/:id/build   --> story-tts/backend/internal/api.(*Server).buildChapter-fm (3 handlers)
[GIN-debug] GET    /api/jobs                 --> story-tts/backend/internal/api.(*Server).listJobs-fm (3 handlers)
[GIN-debug] GET    /api/jobs/:id             --> story-tts/backend/internal/api.(*Server).getJob-fm (3 handlers)
[GIN-debug] GET    /api/bot-profiles         --> story-tts/backend/internal/api.(*Server).listBotProfiles-fm (3 handlers)
[GIN-debug] POST   /api/bot-profiles         --> story-tts/backend/internal/api.(*Server).saveBotProfile-fm (3 handlers)
[GIN-debug] POST   /api/telegram/send-code   --> story-tts/backend/internal/api.(*Server).sendTelegramCode-fm (3 handlers)
[GIN-debug] POST   /api/telegram/sign-in     --> story-tts/backend/internal/api.(*Server).signInTelegram-fm (3 handlers)
[GIN-debug] POST   /api/telegram/password    --> story-tts/backend/internal/api.(*Server).telegramPassword-fm (3 handlers)
[GIN-debug] GET    /api/telegram/qr          --> story-tts/backend/internal/api.(*Server).getTelegramQR-fm (3 handlers)
[GIN-debug] POST   /api/telegram/qr/start    --> story-tts/backend/internal/api.(*Server).startTelegramQR-fm (3 handlers)
[GIN-debug] POST   /api/telegram/qr/cancel   --> story-tts/backend/internal/api.(*Server).cancelTelegramQR-fm (3 handlers)
[GIN] 2026/04/07 - 13:25:13 | 200 |       0s |       127.0.0.1 | GET      "/api/state"
[GIN] 2026/04/07 - 13:25:59 | 200 |       0s |       127.0.0.1 | GET      "/api/state"
[GIN] 2026/04/07 - 13:25:59 | 200 |    1.6ms |       127.0.0.1 | GET      "/api/library/stories"
[GIN] 2026/04/07 - 13:26:00 | 200 |  509.9µs |       127.0.0.1 | GET      "/api/reader/progress/4"
[GIN] 2026/04/07 - 13:26:00 | 200 |  509.9µs |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 13:26:00 | 200 |  565.6µs |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 13:26:00 | 200 |   1.08ms |       127.0.0.1 | GET      "/api/library/stories/3"
[GIN] 2026/04/07 - 13:26:00 | 200 |  502.7µs |       127.0.0.1 | GET      "/api/library/chapters/13/content"
[GIN] 2026/04/07 - 13:26:00 | 200 |  46.83ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:31:26 | 200 |  65.96ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:31:26 | 200 |  502.2µs |       127.0.0.1 | GET      "/api/library/stories/3"
[GIN] 2026/04/07 - 13:31:26 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 13:31:26 | 200 |   48.6ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:31:26 | 200 |  504.8µs |       127.0.0.1 | GET      "/api/library/chapters/13/content"
[GIN] 2026/04/07 - 13:31:27 | 200 |  51.09ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:31:33 | 200 | 129.38ms |       127.0.0.1 | POST     "/api/library/import-folder"
[GIN] 2026/04/07 - 13:31:33 | 200 |       0s |       127.0.0.1 | GET      "/api/state"
[GIN] 2026/04/07 - 13:31:33 | 200 |       0s |       127.0.0.1 | GET      "/api/library/stories"
[GIN] 2026/04/07 - 13:31:33 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 13:31:33 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/4"
[GIN] 2026/04/07 - 13:31:34 | 200 |  47.82ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:31:34 | 200 |   1.01ms |       127.0.0.1 | GET      "/api/library/stories/3"
[GIN] 2026/04/07 - 13:31:34 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 13:31:34 | 200 |  567.1µs |       127.0.0.1 | GET      "/api/library/chapters/16/content"
[GIN] 2026/04/07 - 13:31:35 | 200 |  48.83ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:31:38 | 200 |    1.06s |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:31:38 | 200 |   1.01ms |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 13:31:38 | 200 |   3.14ms |       127.0.0.1 | GET      "/api/library/stories/3"
[GIN] 2026/04/07 - 13:31:38 | 200 |  51.06ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:31:38 | 200 |    1.5ms |       127.0.0.1 | GET      "/api/library/chapters/16/content"
[GIN] 2026/04/07 - 13:31:39 | 200 |  47.93ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:33:55 | 200 |  57.06ms |       127.0.0.1 | POST     "/api/reader/progress"
